mass_1 mass_2 a_1 a_2 tilt_1 tilt_2 phi_12 phi_jl luminosity_distance dec ra theta_jn psi phase geocent_time
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 4283.715441708338 -0.2 1.4 1.3766795064474449 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 3824.2242162444118 -0.2 1.4 1.275986450529149 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 4693.77923675704 -0.2 1.4 2.2263063705176043 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 1065.4654165727893 -0.2 1.4 1.122252873862397 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 3825.1919192920163 -0.2 1.4 1.3142037868973533 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 2201.1407820849786 -0.2 1.4 2.2225847352974912 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 3015.3053733973416 -0.2 1.4 0.5887137828279028 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 2891.479191316271 -0.2 1.4 1.6330487838021426 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 1594.5857237650225 -0.2 1.4 0.4222762095712136 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 2673.6450442300725 -0.2 1.4 1.1106852875187045 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 1594.5897177176364 -0.2 1.4 0.37660917035871755 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 2150.483568938984 -0.2 1.4 1.534894537573667 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 4876.196843695363 -0.2 1.4 1.8230170353508806 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 4713.962450492324 -0.2 1.4 2.3397435238670665 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 4189.635295422267 -0.2 1.4 2.3533887547690733 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 4672.254375098412 -0.2 1.4 2.440888809383622 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 1362.4941028711453 -0.2 1.4 1.9320844620146538 0.0 0.0 0.0
