mass_1 mass_2 a_1 a_2 tilt_1 tilt_2 phi_12 phi_jl luminosity_distance dec ra theta_jn psi phase geocent_time
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 1884.7892854021466 -0.2 1.4 1.4474079004309273 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 2127.088940912022 -0.2 1.4 0.8425030462108418 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 4895.3464997909705 -0.2 1.4 1.2778745861998486 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 2619.4722154137935 -0.2 1.4 1.961229235555543 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 2718.5823741494555 -0.2 1.4 1.3923846794885475 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 3263.19553997283 -0.2 1.4 1.0858648317384734 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 3775.093080680258 -0.2 1.4 0.076913522570115 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 2916.906956138654 -0.2 1.4 0.6724173967982616 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 4592.522762361732 -0.2 1.4 0.4726789416981417 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 4299.35597382056 -0.2 1.4 1.056098588672974 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 1633.922774048232 -0.2 1.4 1.6408295142162512 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 4670.370971570859 -0.2 1.4 0.45584315589692626 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 3830.1894187638886 -0.2 1.4 0.8416773668770139 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 3649.811290877618 -0.2 1.4 1.3194105003913787 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 2781.3512040236174 -0.2 1.4 1.7782449394918625 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 4685.980258734259 -0.2 1.4 0.4964705712620879 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 3463.9804112780885 -0.2 1.4 0.9048984072904347 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 2538.025010556827 -0.2 1.4 1.1503953243021363 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 4999.131415408707 -0.2 1.4 1.4367535983098718 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 4410.778792194305 -0.2 1.4 1.0250546469490365 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 3746.450362576235 -0.2 1.4 1.1233334512565691 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 3884.6963623509314 -0.2 1.4 1.7786269918214213 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 4601.472539805759 -0.2 1.4 2.0923507789771465 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 2165.8181810592205 -0.2 1.4 1.2336463749235491 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 3603.2522357640705 -0.2 1.4 2.1587681423950986 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 2043.4007957773226 -0.2 1.4 1.6352077368894928 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 3563.246685818726 -0.2 1.4 1.5922647261294303 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 2463.589794079654 -0.2 1.4 0.8489694769405508 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 4806.414752748358 -0.2 1.4 1.829168641993737 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 4265.462793303564 -0.2 1.4 0.4502103531317662 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 3418.0917101473347 -0.2 1.4 1.3788454618673487 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 2891.7619133604094 -0.2 1.4 1.371145518618206 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 2456.8088127700944 -0.2 1.4 1.913213143916259 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 4064.410070474493 -0.2 1.4 0.28395498036247735 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 4072.4390248094196 -0.2 1.4 0.7945297659719112 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 2737.3646150136246 -0.2 1.4 0.9552427579216849 0.0 0.0 0.0
50.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 4313.798940929929 -0.2 1.4 1.332124524207115 0.0 0.0 0.0
